"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Comercialização de Gás Natural";"<p>O conjunto dos dados abertos de comercialização de gás natural são constituídos de 2 arquivos:</p>
<p>Vendas às distribuidoras ou consumidores livres: São as vendas de gás natural para as companhias locais de distribuição de gás natural ou consumidores livres que tenham autorização dos estados para comprar diretamente o gás natural dos agentes vendedores. Os dados contém as informações de preços médios ponderados pelos volumes comercializados, bem como os próprios volumes comercializados, e são divulgados mensalmente. Os dados são agregados por regiões brasileiras de acordo com a necessidade de preservação do sigilo comercial dos agentes.</p>
<p>Vendas entre produtores: São as vendas de gás natural entre produtores de gás natural. Os dados contém as informações de preços médios ponderados pelos volumes comercializados, bem como os próprios volumes comercializados, e são divulgados mensalmente. Os dados são agregados por bacias sedimentares brasileiras de acordo com a necessidade de preservação do sigilo comercial dos agentes.</p>
";"Comercialização,Comercialização de Gás Natural,Consumidores,Distribuidoras,Gás Natural,Produtores,Vendas entre produtores,Vendas às distribuidoras ou consumidores livres";"3";"0";"23";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Produção de petróleo e gás natural por estado e localização";"<p>As informações disponíveis são produção de petróleo; produção de LGN; produção de gás natural; reinjeção de gás natural; queima e perdas de gás natural; consumo próprio de gás natural; e gás natural disponível. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.</p>
";"LGN,gás natural,petróleo,produção";"14";"0";"66";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Produção de Biocombustíveis";"<p>As informações disponíveis são produção de biodiesel; e produção de etanol. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.</p>
";"biocombustíveis,etanol,produção";"5";"0";"38";"1"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Movimentação de derivados de petróleo e biocombustíveis";"<p>Asfaltos - Divulga a movimentação de asfaltos pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>Combustíveis de aviação - Divulga a movimentação de combustíveis de aviação (Gasolina e querosene de aviação) pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>Combustíveis líquidos - Divulga a movimentação de combustíveis líquidos (exceto combustíveis de aviação) pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>GLP (Gás Liquefeito de Petróleo) - Divulga a movimentação de gás liquefeito de petróleo (GLP) pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>Lubrificantes - Divulga a movimentação de lubrificantes pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>Solventes - Divulga a movimentação de solventes pelos agentes regulados, conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
<p>Transportador Revendedor Retalhista (TRR) - Divulga a movimentação de derivados pelos transportadores revendedores retalhistas (TRR), conforme Resolução ANP nº 729/2018, com a garantia da proteção das informações declaradas pelos agentes, conforme previsto no art. 3º da referida Resolução.</p>
";"Agente Regulado,GLP,Lubrificantes,Produto,Região Destinatário,Solventes,TRR,asfalto,atual,aviação,combustivel de aviação,combustivel liquido,formecedor,historico,vendas";"16";"0";"22";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Lista de Plataformas em Operação";"<p>Informações extraídas da base de dados do GeoANP.</p>
";"exploração e produção,gás natural,operação,petróleo,plataformas";"2";"0";"13";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Importações e exportações";"<p>As informações disponíveis são importações exportações de petróleo; importações de gás natural; importações e exportações de derivados petróleo; e importações e exportações de etanol. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.</p>
";"derivados de petróleo,etanol,etanol anidro,etanol hidratado,exportação de petróleo,gás natural,importação,importação de petróleo,importações,petróleo";"8";"0";"47";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Processamento de petróleo e produção de derivados";"<p>As informações disponíveis são processamento de petróleo; produção de derivados por refinaria; produção de gás combustível por refinaria; produção de derivados por central petroquímica; produção de derivados de xisto; e produção de derivados por outros produtores. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.</p>
";"Processamento de petróleo,Produção de derivados de xisto,Produção de derivados por central petroquímica,Produção de derivados por outros produtores,Produção de derivados por refinaria,Produção de gás combustível por refinaria,derivados de petróleo,produção";"12";"0";"8";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Vendas de derivados de petróleo e biocombustíveis";"<p>As informações disponíveis são vendas de derivados de petróleo e etanol; vendas de combustíveis por segmento; vendas de combustíveis por tipo; vendas anuais de etanol hidratado e derivados de petróleo por município; e vendas anuais de etanol hidratado e derivados de petróleo por estado. Os dados são atualizados mensalmente até o último dia do mês subsequente ao mês de referência.</p>
";"GLP,asfalto,derivados de petróleo,etanol,etanol hidratado,gasolina c,gasolina de aviação,municipios,oleo combustivel,oleo diesel,querosene de aviação,querosene iluminante,vendas";"44";"0";"142";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2022";"<p>O Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2022 consolida os dados referentes ao desempenho da indústria do petróleo, gás natural e biocombustíveis e do sistema de abastecimento nacionais no período 2012-2021. Estão disponíveis para consulta e download as tabelas integrantes do Anuário 2022 representadas em metadados e no formato CSV.</p>
<p>A ANP não divulgará os dados de reservas internacionais provadas de petróleo e gás natural de 2021, porque o BP Statistical Review of World Energy 2022, nossa fonte de dados internacionais, ainda não publicou esses dados. Portanto serão repetidos os dados do Anuário de 2021.</p>
";"2 ciclo,Bacias Sedimentares,Blocos Econômicos,Brent,Ciclo da Oferta Permanente,Concessão de Blocos,GLP,GNL,Mar,Oferta Permanente,PRH,Partilha de Produção,Por Ciclos,Produção de LGN,Pré-Sal,Regime de Partilha,Reservas provadas de petróleo,Resultado da Licitações,Resultado das Rodadas,Rodada de Licitações,Spot,Vendas de QAV,WTI,b100,biocombustíveis,derivados de petróleo,etanol,etanol anidro,etanol hidratado,gasolina A,gás natural,por blocos,preços médios,produção de petróleo,querosene de aviação,querosene iluminante,regiões geográficas,terra,óleo diesel";"256";"0";"89";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Painel de Produtores de Derivados: Vendas de derivados de petróleo e biocombustíveis";"<p>São apresentados os dados referentes à quantidade de biodiesel vendido entre a UF de origem e a UF de destino informados pelos produtores de
biodiesel.</p>
";"Combustíveis,Movimentação,Vendas,biocombustíveis,biodiesel";"2";"0";"8";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Painel de Produtores de Derivados: Produção de biocombustíveis";"<p>A ANP propicia uma nova forma interativa de visualização dos dados de produção de etanol e biodiesel oriundos das declarações dos agentes via Sistema de Informações de Movimentação de Produtos (Simp).</p>
<p>Informações temporais relativas à produção regional, matéria-prima e tancagem de etanol e biodiesel podem ser obtidas a partir dos dados disponibilizados nesta página ou nos painéis dinâmicos do site da ANP.</p>
";"Biocombustíveis,Biodiesel,Capacidade,Combustíveis,Etanol,Matéria-Prima,Processamento,Produção,Tancagem,Tanque de Biodiesel,Tanque de Etanol";"16";"0";"77";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Painel de Produtores de Derivados: Processamento de petróleo e produção de derivados";"<p>A ANP propicia uma nova forma interativa de visualização dos dados de produção de combustíveis e derivados de petróleo oriundos das declarações dos agentes via Sistema de Informações de Movimentação de Produtos (Simp).</p>
<p>Informações temporais relativas ao processamento de petróleo e fator de utilização efetiva, participação das refinarias no processamento de petróleo, produção e operações de derivados nas refinarias, bem como produção de combustíveis em centrais petroquímicas e formuladores podem ser obtidas a partir do uso dessa ferramenta.</p>
";"CPQ,Combustível,Derivado,Formuladores,Petroquímica,Petróleo,Processamento,Produção,Refinarias,Refino,Tancagem,Tanques de Petróleo";"10";"0";"21";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Distribuidores de Combustíveis Líquidos";"<p>Considerando que compete à ANP regular as atividades relativas ao abastecimento nacional de combustíveis, definido na Lei nº 9.847/1999, de 26 de outubro de 1999. A SDL (Superintendência de Distribuição e Logística) disponibiliza os metadados abaixo, a saber:</p>
<p>Empresa inutilizadora de botijão de GLP: empresa cadastrada para execução do serviço de inutilização de botijões, nos termos da Norma Técnica NBR 8866, da ABNT;</p>
<p>Cessão de Espaço: Contrato homologado entre a cedente (base de combustíveis ou liquefeitos, refinaria, terminal ou produtora de etanol) e cessionária (distribuidor de combustíveis líquidos, aviação, GLP ou TRR), ajustando o uso temporário de espaço de tancagem cedido;</p>
<p>Carregamento Rodoviário: Contrato identificando o ponto de entrega direta de combustíveis líquidos automotivos e GLP, em instalações do produtor ou terminal para carregamento em caminhões-tanque de responsabilidade do distribuidor;</p>
<p>Distribuidor de Combustíveis Líquidos: Pessoa jurídica autorizada pela ANP ao exercício da atividade de distribuição de combustíveis líquidos.</p>
<p>Informações relativas a distribuidores: Distribuidores Autorizados ao Exercício da Atividade, Contratos de cessão de espaço ou carregamento homologados e Agentes Inutilizadores cadastrados</p>
";"Contratos,GLP,P13,agentes econômicos,autorizações,cessão de espaço,distribuidores";"6";"0";"20";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Prestadores de serviços de apoio administrativo";"<p>Prestadores de serviços de apoio administrativo da ANP:  Os dados disponibilizados trata-se da relação de prestadores de serviços terceirizados ocupantes dos postos de serviços objeto dos contratos de prestação de serviços de apoio administrativo no Escritório Central do Rio de Janeiro/RJ e do Escritório Sede em Brasília/DF.</p>
";"Prestadores de serviços,apoio administrativo";"2";"0";"1";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Amostras de Rochas e Fluidos";"<p>Amostras são porção de rocha, sedimento ou fluido extraído de poço, da superfície do fundo oceânico ou da superfície terrestre. Os procedimentos para coleta e manejo das amostras nas bacias sedimentares brasileiras estão definidos na Resolução ANP n° 71/2014.</p>
<p>Eis alguns dos tipos de amostras coletadas: testemunhos de sondagem e seus respectivos plugues; amostras de calha; amostras laterais; amostras de fluidos; lâminas delgadas, bioestratigráficas e seções polidas.</p>
<p>Considerando que a ANP ainda não possui uma estrutura definitiva para o recebimento dessas amostras , as empresas responsáveis pela aquisição são suas fiéis depositárias. A ANP realiza o controle dessas amostras por meio de ações de fiscalização e controle documental e de campo, e assegura a aplicação das regras estipuladas para o acesso às amostras públicas.</p>
<p>Anualmente, as empresas e demais instituições que armazenam amostras da União declaram o volume de tais acervos por meio da DAA – Declaração Anual de Acervo. A consolidação dos dados públicos encaminhados pelas DAAs é publicada no site da ANP, conforme estipula o art. 10, § 7º, da Resolução ANP nº 71/2014. A consolidação do acervo é segmentada por tipo de amostra.</p>
<p>O acesso ao acervo de amostras da União é efetuado por meio do formulário de Solicitação de Acesso a Amostras – SAA. Esse acesso está sujeito à estrita recuperação de custos por parte dos depositários dessas amostras. Os valores cobrados pelas depositárias para atendimento das SAAs são publicados anualmente no site da ANP, conforme estipula o art. 64 da Resolução ANP nº 71/2014.</p>
";"Amostra,Calha,Fluidos,Laterais,Lâminas,Plugues,Rochas,Testemunhos";"33";"0";"11";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Gestão de Contratos de Exploração e Produção – Dados de E&P";"<p>Os contratos para exploração e produção, via de regra, são constituídos por duas fases: exploração e produção. A fase de exploração precede a fase de produção e tem por objetivo descobrir e avaliar jazidas de petróleo e/ou gás natural.</p>
<p>O contrato estabelece um prazo, usualmente dividido em períodos exploratórios, durante o qual o concessionário ou contratado deve desenvolver atividades exploratórias de geologia e geofísica, visando ao maior conhecimento das bacias sedimentares brasileiras, em especial do bloco adquirido.</p>
<p>As atividades exploratórias envolvem a aquisição de dados sísmicos, gravimétricos, magnetométricos, geoquímicos, perfuração e avaliação de poços, dentre outras, devendo obrigatoriamente contemplar o cumprimento do Programa Exploratório Mínimo (PEM) acordado com a ANP.</p>
<p>Também é nessa fase que o concessionário ou contratado realiza as avaliações de descobertas e, caso conclua pela viabilidade econômica da descoberta, declara a comercialidade das áreas. Ainda na fase de exploração, caso não haja interesse econômico, o concessionário ou contratado realiza a devolução das áreas para a União.</p>
<p>Nessa seção encontram-se os dados de poços exploratórios em atividade e concluídos, lista de concessões, consulta de área de blocos, poços com indícios de hidrocarbonetos e as declarações de comercialidade.</p>
";"gás natural,petróleo,poços";"16";"0";"8";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Blocos com Fase Exploratória Encerrada";"<p>Blocos com fase exploratória encerrada</p>
";"blocos devolvidos,exploração e produção,gás natural,petróleo";"2";"0";"1";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Fiscalização de Conteúdo Local";"<p>Controle dos processos de fiscalização do cumprimento das obrigações de conteúdo local dos contratos de E&amp;P.</p>
";"conteúdo local,fiscalização";"14";"0";"0";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Relação de Concessionários";"<p>Relação de Concessionários - A relação dos concessionários consolida informações dos contratos ativos na ANP. Estes contratos estão organizados por rodada de licitação. É possível visualizar a fase em que se encontra cada contrato, as empresas signatárias e suas respectivas participações.</p>
<p>Relação de Concessionários - país de origem - Fazendo parte do conjunto, a relação dos concessionários consolida informações dos contratos ativos na ANP. Estes contratos estão organizados por rodada de licitação. É possível visualizar também os países de origem dos concessionários</p>
";"concessionários,rodadas de licitações";"4";"0";"10";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Rodadas de Licitações de Petróleo e Gás Natural";"<p>As Rodadas de Licitações são leilões por meio dos quais a União concede o direito de explorar e produzir petróleo e gás natural no Brasil. Mais informações sobre as rodadas podem ser obtidas no site das Rodadas da ANP.
Apresentamos a lista de blocos ofertados e de ofertas vencedoras na 9ª a 15ª Rodada de Licitações de Blocos sob o regime de concessão, bem como o histórico de processos de Cessão de Contratos, de 2001 a 2017</p>
";"bid,gás natural,leilão,licitação,petróleo";"6";"0";"5";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2018";"<p>O Anuário Estatístico Brasileiro de Petróleo, Gás Natural e Biocombustíveis 2018 consolida os dados referentes ao desempenho da indústria e do sistema de abastecimento de petróleo, gás natural e biocombustíveis no período de 2008 a 2017.</p>
";"Blocos Econômicos,Brent,Consumo de Gás Natural,Consumo de Petróleo,Região Geográfica,Rodada de Licitações,Spot,WTI,capacidade total,gás natural,licitações,petróleo,preço médio,produção de gás natural,produção de petróleo,refino,reservas,reservas provadas";"245";"0";"3";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2020";"<p>O Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2020 consolida os dados referentes ao desempenho da indústria do petróleo, gás natural e biocombustíveis e do sistema de abastecimento nacionais no período 2010-2019. Estão disponíveis para consulta e download as tabelas integrantes do Anuário 2020 representadas em formato de dados abertos.</p>
";"16 rodada,Bacias Sedimentares,Blocos Econômicos,Brent,Cessão Onerosa,Ciclo da Oferta Permanente,Concessão de Blocos,GLP,Oferta Permanente,PRH,Partilha de Produção,Por Ciclos,Produção de LGN,Pré-Sal,Regime de Partilha,Reservas provadas de petróleo,Resultado das Rodadas,Rodada de Licitações,Spot,Vendas de QAV,WTI,b100,biocombustíveis,derivados de petróleo,etanol,etanol anidro,etanol hidratado,gasolina A,gnl,gás natural,mar,por blocos,preços médios,produção de petróleo,querosene de aviação,querosene iluminante,regiões geográficas,resultado das licitações,terra,óleo diesel";"246";"0";"0";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2021";"<p>O Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2021 consolida os dados referentes ao desempenho da indústria do petróleo, gás natural e biocombustíveis e do sistema de abastecimento nacionais no período 2011-2020. Estão disponíveis para consulta e download as tabelas integrantes do Anuário 2021 representadas em formato de dados abertos.</p>
";"2 ciclo,Bacias Sedimentares,Blocos Econômicos,Brent,Ciclo da Oferta Permanente,Concessão de Blocos,GLP,GNL,Mar,Oferta Permanente,PRH,Partilha de Produção,Por Ciclos,Produção de LGN,Pré-Sal,Regime de Partilha,Reservas provadas de petróleo,Resultado da Licitações,Resultado das Rodadas,Rodada de Licitações,Spot,Vendas de QAV,WTI,b100,biocombustíveis,derivados de petróleo,etanol,etanol anidro,etanol hidratado,gasolina A,gás natural,por blocos,preços médios,produção de petróleo,querosene de aviação,querosene iluminante,regiões geográficas,terra,óleo diesel";"252";"0";"19";"0"
